,item_id,order_id,product_id,quantity,unit_price,discount_percent
0,1,6,463,2,3806,38
1,2,355,121,1,2791,6
2,3,109,180,3,2427,3
3,4,305,431,5,4896,95
4,5,200,29,4,2919,12
5,6,256,164,3,4263,24
6,7,211,161,4,3083,73
7,8,29,137,3,3042,81
8,9,155,149,5,2362,60
9,10,481,253,-5,3653,17
10,11,158,63,5,2520,31
11,12,234,345,4,3900,70
12,13,360,474,3,3413,37
13,14,456,235,2,2721,63
14,15,82,266,1,3376,56
15,16,494,374,5,4159,61
16,17,158,79,3,3791,6
17,18,139,397,2,3064,11
18,19,190,62,1,3082,25
19,20,42,185,5,2386,65
20,21,213,455,4,2663,50
21,22,314,191,5,4453,35
22,23,203,222,2,3529,36
23,24,453,182,2,3054,56
24,25,209,106,1,2218,43
25,26,103,308,2,2706,7
26,27,4,98,2,3939,47
27,28,257,130,4,4454,78
28,29,212,233,4,2535,19
29,30,52,25,2,4851,1
30,31,241,430,3,3056,10
31,32,366,469,3,2125,84
32,33,350,347,1,2882,70
33,34,233,117,5,4355,78
34,35,479,467,1,2884,18
35,36,60,437,3,2721,68
36,37,351,18,2,2523,71
37,38,155,180,2,4238,23
38,39,321,390,2,4151,63
39,40,136,158,4,4496,7
40,41,483,83,5,3092,52
41,42,425,239,1,3392,6
42,43,110,302,2,3789,91
43,44,309,101,2,2690,75
44,45,494,165,2,3129,14
45,46,474,234,5,4804,44
46,47,299,279,1,2571,74
47,48,432,454,5,2374,53
48,49,178,353,2,3507,38
49,50,68,486,4,4099,89
50,51,67,275,-4,2429,16
51,52,204,212,5,4690,2
52,53,493,84,4,4542,61
53,54,333,426,2,3799,54
54,55,357,156,5,4710,64
55,56,156,370,1,3667,53
56,57,441,84,5,2959,75
57,58,1,96,5,4489,71
58,59,24,362,5,4187,9
59,60,132,453,5,4267,11
60,61,300,132,2,3947,10
61,62,304,456,3,4226,68
62,63,65,196,3,2812,2
63,64,458,473,3,3920,79
64,65,348,333,4,3752,29
65,66,441,179,2,2093,64
66,67,423,33,2,3653,95
