item_id,order_id,product_id,quantity,unit_price,discount_percent
1,6,463,2,3806,38
2,355,121,1,2791,6
3,109,180,3,2427,3
4,305,431,5,4896,95
5,200,29,4,2919,12
6,256,164,3,4263,24
7,211,161,4,3083,73
8,29,137,3,3042,81
9,155,149,5,2362,60
10,481,253,-5,3653,17
11,158,63,5,2520,31
12,234,345,4,3900,70
13,360,474,3,3413,37
14,456,235,2,2721,63
15,82,266,1,3376,56
16,494,374,5,4159,61
17,158,79,3,3791,6
18,139,397,2,3064,11
19,190,62,1,3082,25
20,42,185,5,2386,65
21,213,455,4,2663,50
22,314,191,5,4453,35
23,203,222,2,3529,36
24,453,182,2,3054,56
25,209,106,1,2218,43
26,103,308,2,2706,7
27,4,98,2,3939,47
28,257,130,4,4454,78
29,212,233,4,2535,19
30,52,25,2,4851,1
31,241,430,3,3056,10
32,366,469,3,2125,84
33,350,347,1,2882,70
34,233,117,5,4355,78
35,479,467,1,2884,18
36,60,437,3,2721,68
37,351,18,2,2523,71
38,155,180,2,4238,23
39,321,390,2,4151,63
40,136,158,4,4496,7
41,483,83,5,3092,52
42,425,239,1,3392,6
43,110,302,2,3789,91
44,309,101,2,2690,75
45,494,165,2,3129,14
46,474,234,5,4804,44
47,299,279,1,2571,74
48,432,454,5,2374,53
49,178,353,2,3507,38
50,68,486,4,4099,89
51,67,275,-4,2429,16
52,204,212,5,4690,2
53,493,84,4,4542,61
54,333,426,2,3799,54
55,357,156,5,4710,64
56,156,370,1,3667,53
57,441,84,5,2959,75
58,1,96,5,4489,71
59,24,362,5,4187,9
60,132,453,5,4267,11
61,300,132,2,3947,10
62,304,456,3,4226,68
63,65,196,3,2812,2
64,458,473,3,3920,79
65,348,333,4,3752,29
66,441,179,2,2093,64
67,423,33,2,3653,95
68,436,432,-2,4972,88
69,400,246,3,4779,15
70,319,241,2,2781,22
71,261,469,1,4694,75
72,390,315,2,2420,92
73,388,499,2,3390,58
74,386,53,4,3128,2
75,419,114,2,3505,91
76,8,290,5,3543,66
77,415,229,3,2183,76
78,423,16,1,4950,69
79,119,341,1,2010,89
80,28,465,5,2056,97
81,267,14,3,4426,44
82,460,490,3,2525,10
83,209,383,5,2454,50
84,387,328,5,2681,0
85,220,300,1,2659,6
86,342,375,5,4104,13
87,239,295,2,2326,63
88,422,119,5,4398,6
89,431,380,4,2938,34
90,391,39,2,3411,92
91,342,350,1,4838,87
92,58,318,3,2476,29
93,107,203,4,3451,43
94,333,16,3,4212,19
95,28,428,5,2391,52
96,5,410,3,2412,37
97,348,239,3,4621,99
98,353,418,3,4758,66
99,210,400,3,3664,20
100,96,18,1,4317,97
101,297,181,4,2246,55
102,33,393,4,3199,25
103,107,228,3,3014,14
104,6,223,1,2212,6
105,342,349,1,3437,16
106,171,45,5,4549,18
107,97,249,1,3314,72
108,280,137,1,4621,98
109,108,232,4,4978,76
110,84,55,4,2197,15
111,146,257,4,4070,88
112,315,430,3,4557,100
113,448,159,3,4298,33
114,481,390,4,4559,93
115,268,423,3,3761,60
116,358,432,2,2603,73
117,190,442,4,3691,3
118,280,321,4,4039,68
119,308,221,3,2342,56
120,245,110,2,4921,71
121,334,204,3,3546,33
122,242,103,1,4392,90
123,414,496,2,4506,17
124,2,111,2,2251,69
125,225,80,5,4962,55
126,337,337,5,2121,23
127,235,309,3,2310,26
128,482,383,2,2823,98
129,127,255,3,2812,5
130,239,290,5,4291,98
131,463,480,5,2356,81
132,171,392,1,3602,20
133,135,24,5,4066,17
134,364,471,4,3766,88
135,398,493,5,3753,10
136,11,376,2,2329,43
137,442,112,4,4949,35
138,306,441,5,3949,57
139,418,227,5,3737,95
140,213,346,5,3973,67
141,22,347,5,4315,44
142,333,289,5,2054,72
143,12,273,5,3934,96
144,182,442,1,4201,93
145,37,96,2,3209,54
146,285,269,1,3466,99
147,314,491,3,3172,85
148,26,475,2,4367,12
149,180,79,2,2700,61
150,203,28,3,3564,64
151,121,496,5,4138,14
152,27,149,2,3093,49
153,258,75,4,4714,62
154,371,394,-4,2308,81
155,463,202,4,2983,80
156,247,287,2,3193,37
157,214,483,5,3206,1
158,271,144,5,4165,73
159,275,356,3,4578,25
160,446,124,4,2238,99
161,168,473,2,2845,37
162,97,402,1,2494,74
163,4,365,1,3052,2
164,263,24,2,4559,82
165,180,467,5,2755,76
166,186,204,4,2815,55
167,132,336,2,3594,20
168,477,43,3,4224,73
169,43,370,1,3800,10
170,261,500,2,2470,33
171,392,187,4,2774,94
172,227,400,5,4157,80
173,340,196,2,4842,86
174,418,308,3,4501,14
175,485,325,5,3822,40
176,47,149,4,4003,73
177,36,48,1,3689,69
178,284,222,2,4580,90
179,355,88,1,4579,76
180,188,460,1,4253,45
181,25,421,4,4414,63
182,356,409,3,2185,19
183,3,169,4,4469,18
184,435,220,5,2024,20
185,64,70,5,3527,57
186,446,389,2,3884,90
187,18,475,4,2609,33
188,379,192,3,3685,6
189,319,166,3,3689,99
190,418,397,1,3315,69
191,402,456,1,4956,40
192,306,387,5,4335,57
193,193,444,5,4579,55
194,81,412,5,2221,70
195,14,192,4,3432,47
196,84,134,1,2951,0
197,481,103,5,2998,69
198,16,399,1,2844,42
199,161,445,2,2763,89
200,442,391,4,3447,95
201,158,260,4,2830,57
202,307,18,4,3301,73
203,234,418,4,3306,21
204,126,98,2,3185,8
205,465,306,3,3040,60
206,102,21,4,2107,43
207,407,451,2,2919,56
208,292,11,4,3972,71
209,356,396,2,2784,40
210,313,78,3,3860,37
211,61,434,4,4024,36
212,36,399,3,4122,98
213,384,111,1,4282,21
214,324,223,5,4499,54
215,351,121,2,4134,40
216,281,165,4,2990,74
217,58,71,4,3101,33
218,135,17,4,3737,49
219,401,328,3,2964,80
220,297,500,2,2872,96
221,345,391,4,3084,41
222,2,190,2,4168,45
223,26,181,-2,4696,82
224,281,338,3,2134,86
225,405,82,3,2824,80
226,182,135,1,4744,23
227,30,176,4,2076,14
228,213,392,1,2145,18
229,273,359,1,2742,83
230,116,127,3,3519,74
231,240,456,5,2736,46
232,316,277,1,3391,65
233,463,343,4,4297,12
234,335,246,4,3749,94
235,141,355,3,2749,30
236,431,102,4,2011,3
237,449,174,4,4953,40
238,222,457,3,3551,72
239,65,311,1,2473,98
240,206,8,4,2360,28
241,336,454,5,4357,49
242,330,418,5,2656,86
243,141,240,1,4599,35
244,65,122,5,4886,98
245,189,156,4,4000,2
246,353,123,5,2807,65
247,138,187,-5,2359,97
248,442,304,5,3526,88
249,265,474,4,4334,30
250,136,257,5,4483,2
251,456,434,4,4202,1
252,392,157,4,3387,45
253,97,350,2,3138,8
254,442,180,1,4034,19
255,203,35,2,4958,77
256,471,86,1,4619,92
257,495,281,4,2243,57
258,241,186,5,2694,39
259,125,423,4,4359,20
260,431,300,2,3679,35
261,341,100,2,4295,62
262,236,166,5,3739,60
263,494,427,3,2196,78
264,89,387,5,2307,20
265,146,258,1,4733,52
266,404,480,1,4078,11
267,387,118,2,4115,91
268,313,401,1,2207,29
269,20,34,2,3290,3
270,253,148,4,3634,63
271,366,17,5,2953,25
272,30,348,5,2130,39
