product_id,product_name,category,subcategory,cost_price
1,Chair,Home,Furniture,4544
2,Sony,Electronics,Camera,3852
3,Jeans,Clothing,Men,4554
4,Shirt,Clothing,Kids,2661
5,Harry Potter,Books,Fiction,3892
6,Chair,Home,Furniture,4962
7,T-Shirt,Clothing,Men,4939
8,Dune,Books,Fiction,2237
9,Chair,Home,Furniture,2399
10,Dress,Clothing,Women,3483
11,Dress,Clothing,Women,3982
12,Dress,Clothing,Women,4011
13,Jeans,Clothing,Men,3293
14,Sofa,Home,Furniture,2838
15,Math Book,Books,Education,2155
16,Oppo,Electronics,Mobile,4571
17,Oppo,Electronics,Mobile,3968
18,Pan,Home,Kitchen,4375
19,Apple,Electronics,Mobile,3371
20,Python Book,Books,Education,4966
21,Pan,Home,Kitchen,2032
22,Math Book,Books,Education,2373
23,Shirt,Clothing,Kids,2918
24,Apple,Electronics,Mobile,2347
25,Harry Potter,Books,Fiction,3119
26,Sofa,Home,Furniture,4742
27,Pan,Home,Kitchen,2189
28,Jeans,Clothing,Men,4195
29,Handbag,Clothing,Women,4496
30,T-Shirt,Clothing,Men,3686
31,Sony,Electronics,Camera,2065
32,Sony,Electronics,Camera,4217
33,Sony,Electronics,Camera,4423
34,Sofa,Home,Furniture,3376
35,Lenovo,Electronics,Laptop,3409
36,Mixer,Home,Kitchen,3904
37,Oppo,Electronics,Mobile,3907
38,Sony,Electronics,Camera,2369
39,Lenovo,Electronics,Laptop,4322
40,HP,Electronics,Laptop,3881
41,Dress,Clothing,Women,4990
42,Python Book,Books,Education,2058
43,Shirt,Clothing,Kids,4717
44,Harry Potter,Books,Fiction,2089
45,Sony,Electronics,Camera,4789
46,Sofa,Home,Furniture,4998
47,Dress,Clothing,Women,3411
48,Toy,Clothing,Kids,3641
49,Oppo,Electronics,Mobile,2973
50,Shirt,Clothing,Kids,3336
51,Sofa,Home,Furniture,4942
52,Pan,Home,Kitchen,3873
53,Jeans,Clothing,Men,3617
54,Harry Potter,Books,Fiction,3518
55,Jeans,Clothing,Men,2512
56,Mixer,Home,Kitchen,2383
57,Sofa,Home,Furniture,4646
58,Oppo,Electronics,Mobile,4116
59,Jeans,Clothing,Men,4700
60,Toy,Clothing,Kids,3837
61,MacBook,Electronics,Laptop,4168
62, MacBook ,Electronics,Laptop,2049
63,Handbag,Clothing,Women,2739
64,Shirt,Clothing,Kids,3309
65,Sony,Electronics,Camera,3492
66,HP,Electronics,Laptop,3622
67,Pan,Home,Kitchen,3914
68,Python Book,Books,Education,3941
69,Handbag,Clothing,Women,2229
70,MacBook,Electronics,Laptop,2768
71,Shirt,Clothing,Kids,2220
72,Toy,Clothing,Kids,4267
73,Shirt,Clothing,Kids,2896
74,Math Book,Books,Education,4157
75,Sony,Electronics,Camera,2933
76,Handbag,Clothing,Women,2750
77,Sofa,Home,Furniture,2409
78,Oppo,Electronics,Mobile,2281
79,Harry Potter,Books,Fiction,2184
80,Math Book,Books,Education,4240
81,Mixer,Home,Kitchen,3044
82,Python Book,Books,Education,4368
83,Toy,Clothing,Kids,2223
84,Dune,Books,Fiction,3813
85,Sony,Electronics,Camera,3231
86, T-Shirt ,Clothing,Men,4449
87,Mixer,Home,Kitchen,3602
88,Math Book,Books,Education,3449
89,Sony,Electronics,Camera,4535
90,Sofa,Home,Furniture,4089
91,Toy,Clothing,Kids,4788
92,MacBook,Electronics,Laptop,2578
93,Sony,Electronics,Camera,3878
94,Harry Potter,Books,Fiction,3151
95,Chair,Home,Furniture,2209
96,T-Shirt,Clothing,Men,4185
97, Math Book ,Books,Education,2220
98,Sofa,Home,Furniture,3992
