transaction_date,total_transactions,total_amount,successful_transactions,failed_transactions,average_transaction_amount,maximum_transaction_amount,minimum_transaction_amount,success_rate,failure_rate
2026-06-12,163,4101918.0,157,6,25165.14,49848.0,1094.0,96.32,3.68
2026-06-13,622,15424446.0,608,14,24798.14,49963.0,153.0,97.75,2.25
2026-06-14,644,16887342.0,623,21,26222.58,49708.0,112.0,96.74,3.26
2026-06-15,595,14886322.0,577,18,25019.03,49973.0,201.0,96.97,3.03
2026-06-16,685,17581704.0,668,17,25666.72,49963.0,151.0,97.52,2.48
2026-06-17,625,15846873.0,605,20,25355.0,49900.0,10.0,96.8,3.2
2026-06-18,684,17373323.0,654,30,25399.6,49890.0,28.0,95.61,4.39
2026-06-19,637,16663870.0,618,19,26159.92,49920.0,48.0,97.02,2.98
2026-06-20,637,16351033.0,616,21,25668.81,49944.0,32.0,96.7,3.3
2026-06-21,594,14812950.0,577,17,24937.63,49953.0,171.0,97.14,2.86
2026-06-22,610,15530570.0,593,17,25459.95,49968.0,281.0,97.21,2.79
2026-06-23,673,16707318.0,646,27,24825.14,49920.0,23.0,95.99,4.01
2026-06-24,616,15644623.0,600,16,25397.12,49933.0,52.0,97.4,2.6
2026-06-25,629,15500513.0,616,13,24643.1,49940.0,59.0,97.93,2.07
2026-06-26,611,15588327.0,599,12,25512.81,49979.0,48.0,98.04,1.96
2026-06-27,625,16452774.0,598,27,26324.44,49930.0,257.0,95.68,4.32
2026-06-28,644,16268036.0,630,14,25260.93,49891.0,85.0,97.83,2.17
2026-06-29,663,16512046.0,642,21,24905.05,49974.0,61.0,96.83,3.17
2026-06-30,632,15748703.0,610,22,24918.83,49944.0,5.0,96.52,3.48
2026-07-01,640,16119315.0,602,38,25186.43,49993.0,36.0,94.06,5.94
2026-07-02,617,15291872.0,604,13,24784.23,49933.0,36.0,97.89,2.11
2026-07-03,653,16665434.0,624,29,25521.34,49999.0,91.0,95.56,4.44
2026-07-04,648,16694203.0,631,17,25762.66,49795.0,80.0,97.38,2.62
2026-07-05,662,16779431.0,635,27,25346.57,49968.0,64.0,95.92,4.08
2026-07-06,650,15920519.0,630,20,24493.11,49957.0,399.0,96.92,3.08
2026-07-07,640,15407567.0,614,26,24074.32,49981.0,9.0,95.94,4.06
2026-07-08,645,15631441.0,629,16,24234.79,49985.0,24.0,97.52,2.48
2026-07-09,610,14828729.0,598,12,24309.39,49967.0,61.0,98.03,1.97
2026-07-10,595,15051907.0,577,18,25297.32,49811.0,38.0,96.97,3.03
2026-07-11,623,15937811.0,601,22,25582.36,49862.0,74.0,96.47,3.53
2026-07-12,503,12249550.0,489,14,24352.98,49563.0,92.0,97.22,2.78
