transaction_id,transaction_timestamp,sender_bank,receiver_bank,sender_upi,receiver_upi,amount,transaction_type,transaction_status,city,state,device_id,response_time_ms,failure_reason,load_timestamp,source_file,fraud_reason
d78dcddc-d57e-414c-b5b7-03d469b27576,2026-06-28 21:09:16,HDFC,SBI,ka****59@okhdfc,ka****25@oksbi,49119.0,BILL PAYMENT,SUCCESS,INDORE,MADHYA PRADESH,DEV100181,863,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
d66089cd-0666-4ab5-b5f9-f80babd5443d,2026-06-25 11:57:27,ICICI,SBI,ar****34@icici,ka****65@oksbi,48276.0,BILL PAYMENT,SUCCESS,PUNE,MAHARASHTRA,DEV100023,1932,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
60bd73cb-704b-4b00-b57a-b3914e6a0fcf,2026-06-28 20:15:57,ICICI,SBI,ka****20@icici,an****01@oksbi,48279.0,P2P,SUCCESS,MUMBAI,MAHARASHTRA,DEV100174,1044,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
be321c20-4817-418e-81fb-129050eb9be5,2026-06-25 13:19:05,HDFC,ICICI,ka****86@okhdfc,am****26@icici,49809.0,P2P,SUCCESS,MUMBAI,MAHARASHTRA,DEV100154,1636,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
05785a3d-0c58-4c9f-8213-cc304875a6c4,2026-06-25 17:37:50,AXIS,HDFC,ma****71@axis,am****29@okhdfc,49130.0,MERCHANT,SUCCESS,AHMEDABAD,GUJARAT,DEV100111,995,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
36277401-2c8b-435b-b684-b757ef4bc362,2026-06-25 04:52:33,AXIS,SBI,di****15@axis,pr****15@oksbi,48775.0,P2P,SUCCESS,DELHI,DELHI,DEV100039,2139,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
959a9c14-3752-4e4a-9db0-47504a696e26,2026-07-01 17:59:24,SBI,AXIS,ri****61@oksbi,sn****33@axis,48544.0,MERCHANT,SUCCESS,INDORE,MADHYA PRADESH,DEV100047,499,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
51e13d5d-0efd-4ff5-8883-4bd40ee814fa,2026-07-12 08:07:13,AXIS,SBI,ni****14@axis,ri****63@oksbi,48736.0,MERCHANT,SUCCESS,JAIPUR,RAJASTHAN,DEV100073,1418,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
7cee4b72-c435-432b-a065-c2a38ba95bbd,2026-06-15 21:31:04,ICICI,HDFC,ne****18@icici,po****29@okhdfc,48159.0,P2P,SUCCESS,PUNE,MAHARASHTRA,DEV100179,961,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
032c806f-337e-4619-a4c8-ac87509bf316,2026-07-11 18:40:34,HDFC,ICICI,ka****69@okhdfc,ha****58@icici,49683.0,BILL PAYMENT,SUCCESS,BANGALORE,KARNATAKA,DEV100107,968,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
36013873-1398-4809-8211-a9de4a9aee13,2026-06-14 07:17:24,HDFC,ICICI,di****94@okhdfc,ri****01@icici,48627.0,MERCHANT,SUCCESS,AHMEDABAD,GUJARAT,DEV100117,2791,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
0ec28e85-37ce-4d1d-9645-1a4cfad92424,2026-06-18 01:10:50,HDFC,AXIS,ka****95@okhdfc,ka****60@axis,48952.0,P2P,SUCCESS,PUNE,MAHARASHTRA,DEV100154,1991,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
dd0a3dba-d154-4539-88bf-c71dd080fcb4,2026-06-25 22:55:16,ICICI,HDFC,sn****83@icici,ka****05@okhdfc,49365.0,BILL PAYMENT,SUCCESS,HYDERABAD,TELANGANA,DEV100191,2559,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
825aeb6f-b557-4655-b0a5-b3f1f1eefbcb,2026-07-02 01:59:48,ICICI,AXIS,pr****62@icici,pr****36@axis,48359.0,P2P,SUCCESS,JAIPUR,RAJASTHAN,DEV100118,191,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
b5291624-8ffc-4b1a-8de1-380d166a4101,2026-07-10 19:11:26,HDFC,AXIS,po****51@okhdfc,pr****43@axis,49192.0,RECHARGE,SUCCESS,AHMEDABAD,GUJARAT,DEV100141,623,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
8c59f00c-21bb-4157-b613-162b238f50c1,2026-06-17 20:57:31,AXIS,SBI,ma****26@axis,pr****51@oksbi,48209.0,P2P,SUCCESS,JAIPUR,RAJASTHAN,DEV100033,1888,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
35b4179a-ab7c-45e3-8734-8e40e9fd9fbd,2026-07-06 09:21:43,ICICI,AXIS,ni****05@icici,di****13@axis,49397.0,P2P,SUCCESS,INDORE,MADHYA PRADESH,DEV100111,252,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
89406e7b-9026-4e0e-adf7-71b7acb11682,2026-07-11 01:25:53,AXIS,ICICI,ar****62@axis,ma****99@icici,48245.0,BILL PAYMENT,SUCCESS,INDORE,MADHYA PRADESH,DEV100026,246,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
40f77df9-91db-45d9-954b-a1baee367d3b,2026-07-04 16:50:53,AXIS,ICICI,ka****02@axis,si****41@icici,48841.0,MERCHANT,SUCCESS,MUMBAI,MAHARASHTRA,DEV100047,2751,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
c520d66d-3eab-48bc-ae3d-76f9960b6acd,2026-06-21 17:09:49,AXIS,HDFC,ka****64@axis,po****57@okhdfc,49894.0,P2P,SUCCESS,JAIPUR,RAJASTHAN,DEV100043,1890,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
e7038d04-60e5-4e3b-a4e9-b8ae7a5358da,2026-07-11 07:24:31,HDFC,ICICI,ka****42@okhdfc,an****35@icici,48630.0,P2P,SUCCESS,PUNE,MAHARASHTRA,DEV100097,668,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
b8d1b005-315d-41e5-a58b-a16af0b79e9d,2026-06-29 23:05:49,SBI,ICICI,ka****22@oksbi,ha****72@icici,49004.0,P2P,SUCCESS,JAIPUR,RAJASTHAN,DEV100035,1488,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
12eeec82-617c-4c94-a304-4c2a9cd86e71,2026-07-07 02:41:56,SBI,HDFC,po****81@oksbi,ka****06@okhdfc,49925.0,MERCHANT,SUCCESS,INDORE,MADHYA PRADESH,DEV100127,1064,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
a6728174-48b4-46b9-a630-1ef62c6b84be,2026-07-11 16:48:10,SBI,HDFC,ar****48@oksbi,ni****65@okhdfc,48363.0,P2P,SUCCESS,HYDERABAD,TELANGANA,DEV100026,1414,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
e7da7517-6f8c-4353-ab10-a28086f30de1,2026-06-23 09:35:27,ICICI,SBI,ka****74@icici,ne****74@oksbi,49419.0,MERCHANT,SUCCESS,HYDERABAD,TELANGANA,DEV100096,886,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
1e59d4b6-daf4-416a-bc26-40003f5c629f,2026-06-27 13:37:17,AXIS,HDFC,ka****88@axis,pr****53@okhdfc,48943.0,MERCHANT,SUCCESS,INDORE,MADHYA PRADESH,DEV100112,692,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
5b2ec6d6-eed9-43d8-85ba-832dd2ab9b4a,2026-06-30 01:30:51,ICICI,AXIS,si****50@icici,pr****14@axis,49280.0,P2P,SUCCESS,DELHI,DELHI,DEV100176,2636,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
71976bc6-9af4-4fcd-bfc4-29c5eabc706c,2026-07-11 09:46:46,SBI,ICICI,di****35@oksbi,ra****52@icici,48727.0,P2P,SUCCESS,DELHI,DELHI,DEV100048,988,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
1d75993a-ba87-49fe-af00-061333f5db83,2026-07-01 09:00:55,ICICI,AXIS,ka****87@icici,ne****90@axis,49193.0,P2P,SUCCESS,AHMEDABAD,GUJARAT,DEV100175,1546,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
13e5b76f-ac42-4699-819d-2ff538213ff0,2026-06-21 14:35:30,ICICI,AXIS,an****39@icici,si****05@axis,48455.0,MERCHANT,SUCCESS,MUMBAI,MAHARASHTRA,DEV100033,1579,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
fd043afe-e947-42af-b5dc-3979cb3e974f,2026-06-30 19:15:59,HDFC,AXIS,sn****09@okhdfc,ar****75@axis,48867.0,P2P,SUCCESS,AHMEDABAD,GUJARAT,DEV100153,2098,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
1bf93382-5092-497d-a402-3811f3b14c3f,2026-06-21 21:02:18,HDFC,ICICI,ni****87@okhdfc,ma****86@icici,49717.0,P2P,SUCCESS,PUNE,MAHARASHTRA,DEV100049,1595,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
fe1618f2-989b-497a-935c-5f26bd846b94,2026-07-01 14:24:17,HDFC,SBI,ha****51@okhdfc,pr****23@oksbi,49877.0,BILL PAYMENT,SUCCESS,AHMEDABAD,GUJARAT,DEV100079,844,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
16e3de62-52fb-4503-83aa-2a1157687641,2026-06-28 20:02:17,ICICI,AXIS,ro****39@icici,ka****14@axis,49891.0,P2P,SUCCESS,MUMBAI,MAHARASHTRA,DEV100037,1922,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
61c3dedf-63fb-4323-9796-87686eca0bde,2026-06-26 12:35:07,ICICI,HDFC,po****12@icici,si****79@okhdfc,48063.0,MERCHANT,SUCCESS,BANGALORE,KARNATAKA,DEV100104,2386,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
8f1f499c-d921-4857-9111-9b2ab9c4faef,2026-06-18 02:28:29,SBI,HDFC,ro****68@oksbi,an****81@okhdfc,48757.0,MERCHANT,SUCCESS,INDORE,MADHYA PRADESH,DEV100185,1131,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
8246f2c4-50dd-4f21-b39e-011db460f289,2026-07-12 06:37:16,HDFC,SBI,ne****14@okhdfc,di****21@oksbi,48587.0,P2P,SUCCESS,HYDERABAD,TELANGANA,DEV100070,2873,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
0e6b1713-d72b-4c32-b054-895fa8637f05,2026-06-28 00:09:48,SBI,HDFC,ha****59@oksbi,ka****56@okhdfc,48341.0,MERCHANT,SUCCESS,MUMBAI,MAHARASHTRA,DEV100107,2428,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
0a025880-197e-4a2c-a379-1a9b4b6e95f1,2026-06-30 05:29:39,SBI,AXIS,ne****19@oksbi,sn****80@axis,48540.0,BILL PAYMENT,SUCCESS,PUNE,MAHARASHTRA,DEV100090,2831,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
047264aa-d2b8-4516-ba5c-ab005d1851b1,2026-06-25 09:43:26,AXIS,ICICI,po****02@axis,di****34@icici,49747.0,P2P,SUCCESS,HYDERABAD,TELANGANA,DEV100041,1559,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
8a8fb552-8867-4acf-9a9c-40df025500db,2026-07-09 16:52:36,HDFC,AXIS,ar****14@okhdfc,ma****94@axis,49592.0,P2P,SUCCESS,BANGALORE,KARNATAKA,DEV100136,643,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
7ed3f031-a64c-4db4-8eba-52a6c9a4c1e2,2026-06-30 10:07:41,AXIS,HDFC,vi****39@axis,ni****32@okhdfc,48631.0,BILL PAYMENT,SUCCESS,HYDERABAD,TELANGANA,DEV100188,1755,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
ab6ff941-b86a-4583-b174-495a9cc50ca1,2026-06-16 16:33:32,AXIS,ICICI,pr****79@axis,vi****96@icici,48632.0,P2P,SUCCESS,JAIPUR,RAJASTHAN,DEV100119,2290,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
6574720f-b077-4d6a-aaa7-9fdcd6097fd0,2026-06-30 13:36:42,SBI,AXIS,ma****94@oksbi,ka****59@axis,49330.0,MERCHANT,SUCCESS,BANGALORE,KARNATAKA,DEV100170,632,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
32655287-803a-4ec5-adf5-738dfd7b93f9,2026-07-03 22:02:33,ICICI,SBI,po****28@icici,po****28@oksbi,48683.0,P2P,SUCCESS,MUMBAI,MAHARASHTRA,DEV100027,2508,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
16c4cb02-66cd-4307-bb86-7134c1efde43,2026-07-07 18:19:08,AXIS,HDFC,ma****79@axis,si****90@okhdfc,48246.0,MERCHANT,SUCCESS,BANGALORE,KARNATAKA,DEV100104,2779,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
3348b9e1-9a2c-4258-926e-6d6c8cf4f4b6,2026-07-05 16:26:13,ICICI,HDFC,ka****33@icici,si****22@okhdfc,49523.0,MERCHANT,SUCCESS,INDORE,MADHYA PRADESH,DEV100103,1771,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv,High Value Transaction
