transaction_id,transaction_timestamp,sender_bank,receiver_bank,sender_upi,receiver_upi,amount,transaction_type,transaction_status,city,state,device_id,response_time_ms,failure_reason,load_timestamp,source_file
29fb4997-5692-4449-a7a3-5ac5a89017e2,2026-07-01 06:51:26,ICICI,SBI,an****30@icici,ka****22@oksbi,45291.0,P2P,SUCCESS,PUNE,MAHARASHTRA,DEV100030,2613,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
8965c981-9082-4302-80ea-a6143fb8ec8f,2026-07-03 20:42:48,SBI,AXIS,ro****66@oksbi,ri****23@axis,13260.0,BILL PAYMENT,SUCCESS,BANGALORE,KARNATAKA,DEV100057,441,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
738577eb-907d-411d-a632-b0fd92d700b9,2026-06-27 08:36:52,ICICI,AXIS,ma****95@icici,di****06@axis,30587.0,RECHARGE,SUCCESS,MUMBAI,MAHARASHTRA,DEV100041,128,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
3770dbc7-ec78-400b-8406-32ed60678044,2026-07-02 17:07:14,ICICI,AXIS,pr****73@icici,pr****41@axis,25455.0,MERCHANT,SUCCESS,BANGALORE,KARNATAKA,DEV100032,541,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
b1ebfc4b-f6d8-48b9-8a6a-6d5da03bb0ca,2026-07-06 03:02:40,ICICI,SBI,am****44@icici,di****22@oksbi,33119.0,P2P,FAILED,INDORE,MADHYA PRADESH,DEV100098,2648,Bank Server Down,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
4537fd94-19ee-44c7-8eeb-3463dff7fc8a,2026-06-30 08:28:54,HDFC,ICICI,sn****66@okhdfc,ka****84@icici,5286.0,P2P,SUCCESS,BANGALORE,KARNATAKA,DEV100199,1899,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
9e833542-c9bc-4a93-b112-3282cffdbaef,2026-06-26 16:58:30,SBI,HDFC,sn****42@oksbi,pr****83@okhdfc,16394.0,MERCHANT,SUCCESS,INDORE,MADHYA PRADESH,DEV100132,589,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
9fa7d64c-cb70-49e8-b236-433be296f997,2026-06-18 03:55:00,HDFC,ICICI,ka****41@okhdfc,di****92@icici,24346.0,P2P,SUCCESS,INDORE,MADHYA PRADESH,DEV100190,2006,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
06e9c4cb-d322-43bd-93cc-4e2681a7281d,2026-06-29 07:35:33,ICICI,HDFC,an****10@icici,si****70@okhdfc,39758.0,RECHARGE,FAILED,INDORE,MADHYA PRADESH,DEV100158,952,Invalid UPI,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
785872db-d51b-40ff-9aa0-c9322ae9002f,2026-07-05 20:39:25,HDFC,ICICI,sn****75@okhdfc,ka****07@icici,47422.0,P2P,SUCCESS,JAIPUR,RAJASTHAN,DEV100006,1364,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
e2e96fbb-1e7a-40a3-8aad-cdacecdef661,2026-07-08 00:47:38,SBI,AXIS,vi****30@oksbi,ni****82@axis,1712.0,P2P,FAILED,MUMBAI,MAHARASHTRA,DEV100166,2399,Bank Server Down,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
4b373523-bf2f-4963-8754-bd36457a68a3,2026-07-04 01:00:32,ICICI,HDFC,po****32@icici,ar****62@okhdfc,17658.0,P2P,SUCCESS,INDORE,MADHYA PRADESH,DEV100059,1507,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
82468253-a106-4976-96a0-2f26de7654b8,2026-07-10 17:49:50,SBI,ICICI,vi****77@oksbi,po****93@icici,30947.0,RECHARGE,SUCCESS,AHMEDABAD,GUJARAT,DEV100039,2984,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
1b9a090d-e9ee-405d-8d11-9ceebf3dc520,2026-06-19 09:22:26,SBI,ICICI,ro****49@oksbi,po****88@icici,26950.0,BILL PAYMENT,SUCCESS,INDORE,MADHYA PRADESH,DEV100188,641,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
b1973acc-1099-44b7-ad9b-35c9c854147d,2026-06-28 02:11:32,AXIS,ICICI,ka****35@axis,ro****02@icici,13542.0,MERCHANT,SUCCESS,BANGALORE,KARNATAKA,DEV100161,1588,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
0caece25-5f96-410c-9ad6-499a73da46eb,2026-07-01 02:39:18,SBI,ICICI,ma****23@oksbi,am****15@icici,27850.0,MERCHANT,FAILED,AHMEDABAD,GUJARAT,DEV100109,1029,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
ab6ff941-b86a-4583-b174-495a9cc50ca1,2026-06-16 16:33:32,AXIS,ICICI,pr****79@axis,vi****96@icici,48632.0,P2P,SUCCESS,JAIPUR,RAJASTHAN,DEV100119,2290,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
2140d978-f7b1-49ce-8e6a-e6a87aad5bc4,2026-07-06 10:41:55,AXIS,SBI,po****77@axis,ha****41@oksbi,14281.0,P2P,SUCCESS,INDORE,MADHYA PRADESH,DEV100025,1148,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
96c8986b-6b45-4e60-96a2-576beb6d79e1,2026-06-28 13:42:36,AXIS,SBI,ar****65@axis,ne****50@oksbi,45309.0,RECHARGE,SUCCESS,MUMBAI,MAHARASHTRA,DEV100051,365,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
d78dcddc-d57e-414c-b5b7-03d469b27576,2026-06-28 21:09:16,HDFC,SBI,ka****59@okhdfc,ka****25@oksbi,49119.0,BILL PAYMENT,SUCCESS,INDORE,MADHYA PRADESH,DEV100181,863,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
a4814d1b-d8b4-420d-9996-668c35e9f962,2026-06-27 03:49:15,ICICI,AXIS,am****04@icici,ka****40@axis,41099.0,MERCHANT,SUCCESS,AHMEDABAD,GUJARAT,DEV100104,489,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
d635a9fe-2e1f-4357-8f4a-a5a35c91d773,2026-06-22 22:48:57,SBI,ICICI,ka****92@oksbi,an****01@icici,24736.0,RECHARGE,SUCCESS,MUMBAI,MAHARASHTRA,DEV100032,2118,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
aa14bb95-8002-4db0-b575-9881701c2aa3,2026-06-17 18:51:47,AXIS,SBI,ri****31@axis,ar****70@oksbi,2399.0,RECHARGE,SUCCESS,HYDERABAD,TELANGANA,DEV100137,146,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
dd3c0ee7-6081-4823-85f8-0838de9b7c0a,2026-07-01 08:48:24,AXIS,HDFC,ar****08@axis,ra****50@okhdfc,1782.0,P2P,SUCCESS,JAIPUR,RAJASTHAN,DEV100175,719,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
ba4cbb72-278e-46a4-899b-a64238b552d7,2026-06-26 09:16:03,ICICI,HDFC,ha****95@icici,ne****04@okhdfc,13854.0,MERCHANT,SUCCESS,JAIPUR,RAJASTHAN,DEV100110,2798,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
3e4aa15b-5356-41e5-b7d2-9807c53b6d5c,2026-07-11 12:14:40,ICICI,AXIS,di****29@icici,ka****58@axis,5570.0,MERCHANT,SUCCESS,AHMEDABAD,GUJARAT,DEV100092,1303,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
fa7ad9f4-7024-4d9e-9005-038f725b34e5,2026-07-12 17:41:33,ICICI,SBI,sn****11@icici,ro****60@oksbi,16619.0,P2P,SUCCESS,HYDERABAD,TELANGANA,DEV100126,513,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
54a909a1-0f09-43f2-951f-59bbf784f4b9,2026-06-27 12:24:25,AXIS,ICICI,ha****64@axis,ma****51@icici,34565.0,MERCHANT,SUCCESS,INDORE,MADHYA PRADESH,DEV100089,1869,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
6fee48e0-bb3b-4a0c-b538-5de290dd7f53,2026-07-05 04:22:12,SBI,AXIS,ka****98@oksbi,vi****54@axis,35658.0,MERCHANT,FAILED,DELHI,DELHI,DEV100040,2232,Daily Limit Exceeded,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
d06326af-5cbf-4ee6-a322-7178e1e74f5b,2026-07-04 08:25:33,ICICI,AXIS,ra****07@icici,ka****19@axis,34052.0,RECHARGE,SUCCESS,BANGALORE,KARNATAKA,DEV100175,2684,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
8f68df63-6129-4a49-8dcd-aa8d0a2c792c,2026-06-27 14:07:42,HDFC,ICICI,vi****63@okhdfc,si****31@icici,38492.0,MERCHANT,SUCCESS,JAIPUR,RAJASTHAN,DEV100123,2445,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
4324e304-9f76-4cf7-a32b-c9c942fc0374,2026-06-19 09:54:38,HDFC,AXIS,ma****90@okhdfc,ka****38@axis,35861.0,P2P,SUCCESS,PUNE,MAHARASHTRA,DEV100009,1040,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
e6dccc8d-09aa-4ab5-8a24-c38ad091cd44,2026-06-27 06:34:45,AXIS,HDFC,po****63@axis,sn****63@okhdfc,12782.0,RECHARGE,FAILED,MUMBAI,MAHARASHTRA,DEV100192,1193,Invalid UPI,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
ec5de55a-79f7-424a-9c88-3e145813e865,2026-07-04 23:00:05,HDFC,SBI,ka****85@okhdfc,pr****18@oksbi,23008.0,P2P,SUCCESS,JAIPUR,RAJASTHAN,DEV100149,2779,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
80b83e03-b918-4db7-bd61-fbee37d0b204,2026-07-09 07:30:44,SBI,HDFC,pr****56@oksbi,ka****06@okhdfc,17614.0,RECHARGE,SUCCESS,MUMBAI,MAHARASHTRA,DEV100154,445,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
3e2f6683-04d5-4a28-8d64-fc80afebe3b1,2026-07-09 00:37:06,SBI,AXIS,po****75@oksbi,ha****09@axis,36924.0,P2P,FAILED,MUMBAI,MAHARASHTRA,DEV100007,2132,Timeout,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
b5f47b45-9550-461b-9e60-02343433454f,2026-06-17 19:34:08,HDFC,ICICI,ha****05@okhdfc,ra****64@icici,37132.0,P2P,SUCCESS,PUNE,MAHARASHTRA,DEV100194,1902,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
f22cde3f-ddfe-4b8a-9339-05095cd7da68,2026-06-18 18:43:34,HDFC,SBI,sn****66@okhdfc,ro****15@oksbi,26695.0,P2P,FAILED,AHMEDABAD,GUJARAT,DEV100110,1997,Bank Server Down,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
15a29c94-065b-423e-acb0-74c5ff78d8ef,2026-06-29 06:12:49,ICICI,AXIS,an****27@icici,ri****49@axis,365.0,RECHARGE,SUCCESS,HYDERABAD,TELANGANA,DEV100123,2907,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
d003061d-216c-445e-9656-f7ecff6281a6,2026-06-26 02:08:42,HDFC,ICICI,si****96@okhdfc,vi****49@icici,43959.0,MERCHANT,SUCCESS,HYDERABAD,TELANGANA,DEV100193,1677,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
d66089cd-0666-4ab5-b5f9-f80babd5443d,2026-06-25 11:57:27,ICICI,SBI,ar****34@icici,ka****65@oksbi,48276.0,BILL PAYMENT,SUCCESS,PUNE,MAHARASHTRA,DEV100023,1932,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
ce4eb4c5-6d0d-47b6-a37d-1c316645a9e0,2026-07-12 11:57:36,ICICI,SBI,pr****13@icici,ka****86@oksbi,31699.0,RECHARGE,SUCCESS,INDORE,MADHYA PRADESH,DEV100107,1797,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
6f718694-e29a-4106-aa24-26922798dcb0,2026-06-15 02:16:04,SBI,ICICI,ka****35@oksbi,ro****49@icici,23456.0,MERCHANT,SUCCESS,AHMEDABAD,GUJARAT,DEV100044,1676,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
4d3f1ae1-4fba-4065-a60c-f1a42e58be53,2026-07-02 04:48:27,SBI,HDFC,ha****58@oksbi,ar****13@okhdfc,7553.0,BILL PAYMENT,SUCCESS,AHMEDABAD,GUJARAT,DEV100007,1352,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
0fb4cda2-5589-4e77-93d5-7eec5cf8bd72,2026-06-23 04:52:58,HDFC,AXIS,ri****72@okhdfc,ka****56@axis,38000.0,P2P,SUCCESS,INDORE,MADHYA PRADESH,DEV100113,127,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
0a8b9fea-0dfc-44aa-954e-a78ace6982de,2026-07-08 13:09:44,SBI,AXIS,ni****61@oksbi,po****63@axis,44507.0,MERCHANT,SUCCESS,HYDERABAD,TELANGANA,DEV100090,2486,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
870af0c9-b050-44a9-936e-e178ff69d51a,2026-06-29 12:45:39,AXIS,ICICI,pr****21@axis,ra****24@icici,10521.0,P2P,SUCCESS,PUNE,MAHARASHTRA,DEV100101,2762,,2026-07-12 18:25:28.953779,dbfs:/Volumes/dbacademy/default/myvolume/Project%20Sentinel/upi_transactions.csv
